County_FIPS_x,County,state_FIPS,State,pop_Year,pop_Population,pop_merge_indicator,pov_poverty_rate_percent,pov_merge_indicator,minc_median_income_USD_2021,minc_merge_indicator,state_county,opioid_YEAR,opioid_State,opioid_County,opioid_morphine_equivalent_g,opioid_state_county_yr,opioid_merge_indicator,FIPS|YEAR,County_FIPS_y,mort_year,mort_overdose_deaths,mort_merge_indicator,predicted_overdose_deaths_stochastic,_merge,pop_log_population,grams_morphine_per_cap,overdose_deaths_per_cap
01003,BALDWIN,01,AL,2021,239439,both,10.8,both,"65,658",both,AL|BALDWIN,2013,AL,BALDWIN,130467.973239975,AL|BALDWIN|2013,both,01003|2013,01003,2013.0,20.0,Actual Values (not missing),,left_only,12.386053966106232,0.5448902360934309,8.352858139233792e-05
01003,BALDWIN,01,AL,2021,239439,both,10.8,both,"65,658",both,AL|BALDWIN,2014,AL,BALDWIN,131068.66279755,AL|BALDWIN|2014,both,01003|2014,01003,2014.0,32.0,Actual Values (not missing),,left_only,12.386053966106232,0.5473989734235024,0.0001336457302277407
01003,BALDWIN,01,AL,2021,239439,both,10.8,both,"65,658",both,AL|BALDWIN,2015,AL,BALDWIN,127843.76849265,AL|BALDWIN|2015,both,01003|2015,01003,2015.0,40.0,Actual Values (not missing),,left_only,12.386053966106232,0.533930431102076,0.00016705716278467585
01005,BARBOUR,01,AL,2021,24533,both,23.0,both,"38,649",both,AL|BARBOUR,2006,AL,BARBOUR,5764.0191225,AL|BARBOUR|2006,both,01005|2006,,,9.786122877558944,Random Forest Predicted Values,9.786122877558944,both,10.107774429000033,0.23494962387396567,0.00036685281050014267
01005,BARBOUR,01,AL,2021,24533,both,23.0,both,"38,649",both,AL|BARBOUR,2007,AL,BARBOUR,6377.6101124875,AL|BARBOUR|2007,both,01005|2007,,,9.783750317877987,Random Forest Predicted Values,9.783750317877987,both,10.107774429000033,0.2599604660044634,0.00036685281050014267
01005,BARBOUR,01,AL,2021,24533,both,23.0,both,"38,649",both,AL|BARBOUR,2008,AL,BARBOUR,7119.361857725,AL|BARBOUR|2008,both,01005|2008,,,10.509960284338677,Random Forest Predicted Values,10.509960284338677,both,10.107774429000033,0.2901953229415481,0.0004076142338890474
01005,BARBOUR,01,AL,2021,24533,both,23.0,both,"38,649",both,AL|BARBOUR,2009,AL,BARBOUR,7919.09319,AL|BARBOUR|2009,both,01005|2009,,,8.298322255606989,Random Forest Predicted Values,8.298322255606989,both,10.107774429000033,0.32279351037378223,0.0003260913871112379
01005,BARBOUR,01,AL,2021,24533,both,23.0,both,"38,649",both,AL|BARBOUR,2010,AL,BARBOUR,8604.301552725,AL|BARBOUR|2010,both,01005|2010,,,8.491613484202874,Random Forest Predicted Values,8.491613484202874,both,10.107774429000033,0.3507235785564342,0.0003260913871112379
01005,BARBOUR,01,AL,2021,24533,both,23.0,both,"38,649",both,AL|BARBOUR,2011,AL,BARBOUR,9153.569040225,AL|BARBOUR|2011,both,01005|2011,,,9.684665947077221,Random Forest Predicted Values,9.684665947077221,both,10.107774429000033,0.3731125031681816,0.00036685281050014267
01005,BARBOUR,01,AL,2021,24533,both,23.0,both,"38,649",both,AL|BARBOUR,2012,AL,BARBOUR,10314.95969295,AL|BARBOUR|2012,both,01005|2012,,,9.222333132016825,Random Forest Predicted Values,9.222333132016825,both,10.107774429000033,0.4204524392838218,0.00036685281050014267
