FIPS*,Name,RUC Code,All people in poverty (2021) Percent,Children ages 0-17 in poverty (2021) Percent
13181,Lincoln,2,16.5,26.5
13183,Long,3,14.6,21.7
13185,Lowndes,3,24.4,33.3
13187,Lumpkin,1,13.6,16.9
13189,McDuffie,2,19.6,31.2
13191,McIntosh,3,21.4,34.2
13193,Macon,8,30.3,37.6
13195,Madison,3,15.1,22.4
13197,Marion,2,21.3,32.9
13199,Meriwether,1,21.7,38.5
13201,Miller,9,24.2,35.8
13205,Mitchell,6,24.7,34
13207,Monroe,3,11.7,17.1
13209,Montgomery,9,20.8,27.3
13211,Morgan,1,10.9,18
13213,Murray,3,15.7,23.2
13215,Muscogee,2,20.4,29.2
13217,Newton,1,12.5,21.3
13219,Oconee,3,6,6.3
13221,Oglethorpe,3,13.4,20
13223,Paulding,1,7.6,11.1
13225,Peach,3,19.5,30
13227,Pickens,1,10.3,16.8
13229,Pierce,8,15.4,23
13231,Pike,1,9.7,12.7
13233,Polk,4,17.7,26.8
13235,Pulaski,8,20.9,30.8
13237,Putnam,8,16.2,27.8
13239,Quitman,8,24.5,41.1
13241,Rabun,9,12.5,21.4
13243,Randolph,8,28.1,41.2
13245,Richmond,2,21.4,33.8
13247,Rockdale,1,13.6,22.7
13249,Schley,8,16.1,22.6
13251,Screven,8,20.3,31.9
13253,Seminole,8,23.3,36.9
13255,Spalding,1,21.3,34.7
13257,Stephens,7,16.7,24.1
13259,Stewart,2,31.4,36.4
13261,Sumter,6,27.9,39.7
13263,Talbot,2,23.3,38.9
13265,Taliaferro,8,23,37.5
13267,Tattnall,8,28,33.8
13269,Taylor,8,22.7,34.7
13271,Telfair,9,30.2,38.3
13273,Terrell,3,26.6,42.3
13275,Thomas,4,19.1,28.9
13277,Tift,5,21.4,31.8
13279,Toombs,7,22.9,33.1
13281,Towns,9,13.6,21.3
13283,Treutlen,9,21.8,34.3
13285,Troup,4,15.6,24.6
13287,Turner,9,26.2,39.5
13289,Twiggs,3,21.1,32
