,,Unemployment Rate (percent),,,,,,,,,,
FIPS ,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,Median Household Income (2021),% of State Median HH Income
13165,"Jenkins County, GA",10.0,8.5,7.7,6.8,5.4,5.2,6.3,4.8,4.4,"$38,497",57.9%
13167,"Johnson County, GA",8.6,7.1,6.2,5.1,4.0,3.8,4.9,3.6,3.0,"$37,703",56.7%
13169,"Jones County, GA",6.3,5.6,4.9,4.4,3.7,3.3,4.5,3.2,3.0,"$61,509",92.5%
13171,"Lamar County, GA",9.6,7.8,6.6,5.6,4.7,4.0,6.3,4.2,3.4,"$55,933",84.1%
13173,"Lanier County, GA",8.1,6.8,5.9,5.1,4.5,4.1,5.3,3.9,3.5,"$47,789",71.9%
13175,"Laurens County, GA",9.3,7.7,6.7,5.9,4.8,4.7,6.6,4.3,4.0,"$47,905",72.0%
13177,"Lee County, GA",6.3,5.4,4.8,4.2,3.6,3.1,4.5,3.1,3.0,"$76,546",115.1%
13179,"Liberty County, GA",7.7,6.4,5.9,5.2,4.3,3.9,6.2,4.0,3.4,"$50,696",76.2%
13181,"Lincoln County, GA",8.3,6.9,6.0,5.3,5.0,4.0,5.4,4.1,3.6,"$50,080",75.3%
13183,"Long County, GA",7.4,6.0,5.5,4.9,4.0,3.8,4.4,3.1,3.2,"$55,601",83.6%
13185,"Lowndes County, GA",7.3,6.0,5.3,4.7,4.1,3.7,6.0,4.1,3.4,"$46,565",70.0%
13187,"Lumpkin County, GA",6.4,5.5,4.9,4.2,3.6,3.3,4.8,2.8,2.6,"$64,077",96.3%
13189,"McDuffie County, GA",10.0,8.5,7.4,6.3,5.6,5.3,7.9,5.3,4.6,"$44,597",67.1%
13191,"McIntosh County, GA",7.9,6.6,5.9,5.1,4.0,3.8,5.6,3.7,3.2,"$47,651",71.6%
13193,"Macon County, GA",11.8,9.3,8.4,7.0,6.3,4.7,7.6,6.5,4.3,"$35,660",53.6%
13195,"Madison County, GA",6.7,5.6,5.0,4.3,3.6,3.2,5.0,3.1,3.0,"$56,526",85.0%
13197,"Marion County, GA",7.7,8.6,7.4,6.1,5.2,4.4,5.1,3.7,3.7,"$39,717",59.7%
13199,"Meriwether County, GA",9.8,8.2,7.0,6.0,5.0,4.7,8.6,5.2,3.9,"$46,799",70.4%
13201,"Miller County, GA",6.3,5.5,5.5,4.5,3.7,3.4,4.0,3.0,2.7,"$44,814",67.4%
13205,"Mitchell County, GA",7.9,6.8,6.7,6.3,5.4,4.7,6.5,5.1,4.1,"$42,539",64.0%
13207,"Monroe County, GA",6.7,5.9,5.2,4.5,3.7,3.4,5.0,3.2,2.9,"$65,697",98.8%
13209,"Montgomery County, GA",10.4,8.8,7.5,6.6,5.8,5.3,5.4,4.2,4.0,"$47,618",71.6%
13211,"Morgan County, GA",6.6,5.6,5.1,4.5,3.6,3.3,5.3,3.3,2.8,"$67,187",101.0%
13213,"Murray County, GA",9.4,7.5,7.2,6.2,5.3,5.3,7.5,4.4,4.1,"$53,297",80.1%
13215,"Muscogee County, GA",8.5,7.6,6.9,6.0,5.1,4.7,7.8,5.3,4.3,"$52,090",78.3%
13217,"Newton County, GA",8.2,6.9,6.1,5.4,4.5,4.0,7.1,4.4,3.5,"$71,366",107.3%
13219,"Oconee County, GA",5.1,4.5,4.1,3.6,3.0,2.6,3.7,2.3,2.4,"$112,581",169.3%
13221,"Oglethorpe County, GA",6.6,5.6,4.9,4.4,3.7,3.3,4.7,2.9,2.8,"$57,215",86.0%
13223,"Paulding County, GA",6.2,5.3,4.7,4.2,3.5,3.1,5.3,3.0,2.7,"$89,632",134.8%
13225,"Peach County, GA",9.5,8.1,7.1,5.9,5.2,4.2,6.2,4.9,3.9,"$54,921",82.6%
13227,"Pickens County, GA",6.7,5.4,4.9,4.3,3.6,3.1,4.7,2.8,2.7,"$72,539",109.1%
13229,"Pierce County, GA",7.5,6.3,5.4,4.6,3.8,3.5,4.5,3.2,2.9,"$51,688",77.7%
13231,"Pike County, GA",7.0,5.8,5.2,4.5,3.6,3.1,4.9,2.9,2.8,"$75,668",113.8%
13233,"Polk County, GA",7.8,6.7,6.2,5.3,4.2,3.8,5.9,3.6,3.2,"$49,061",73.8%
13235,"Pulaski County, GA",7.8,6.7,5.9,5.3,4.4,4.0,4.7,3.8,3.4,"$45,594",68.6%
13237,"Putnam County, GA",9.1,8.2,7.1,5.8,5.0,4.5,6.4,4.0,3.6,"$55,826",83.9%
13239,"Quitman County, GA",8.4,6.9,7.4,5.9,5.6,5.3,6.3,4.8,5.1,"$38,357",57.7%
13241,"Rabun County, GA",8.2,6.8,6.0,5.0,4.0,3.6,5.3,3.2,3.0,"$58,463",87.9%
13243,"Randolph County, GA",9.7,9.3,8.6,6.5,5.6,4.9,5.9,5.3,4.6,"$34,883",52.5%
13245,"Richmond County, GA",8.7,7.5,6.8,6.0,5.2,4.7,7.6,5.3,4.4,"$47,816",71.9%
13247,"Rockdale County, GA",7.9,6.6,5.9,5.3,4.4,4.0,7.6,4.6,3.6,"$65,746",98.9%
13249,"Schley County, GA",7.6,6.8,6.4,5.5,4.6,4.0,4.3,3.8,3.9,"$53,369",80.2%
13251,"Screven County, GA",10.0,8.5,7.6,6.3,5.4,5.6,8.1,5.6,4.5,"$45,061",67.8%
13253,"Seminole County, GA",9.5,8.2,8.0,6.5,5.4,4.4,5.0,3.8,3.7,"$41,917",63.0%
13255,"Spalding County, GA",9.5,8.2,7.0,5.9,4.7,4.2,7.5,4.6,3.4,"$52,902",79.5%
13257,"Stephens County, GA",7.7,6.6,6.0,5.3,4.6,3.9,6.3,4.4,3.7,"$47,909",72.0%
13259,"Stewart County, GA",7.5,7.0,6.5,6.0,4.8,4.4,5.6,3.8,3.8,"$37,318",56.1%
13261,"Sumter County, GA",9.5,8.5,7.7,6.8,6.0,4.9,7.4,5.7,4.3,"$39,008",58.7%
13263,"Talbot County, GA",7.9,7.9,6.8,6.2,5.1,4.6,6.7,4.5,3.8,"$42,646",64.1%
13265,"Taliaferro County, GA",11.0,8.0,6.9,6.7,5.4,5.3,7.1,5.1,4.2,"$40,045",60.2%
13267,"Tattnall County, GA",7.0,6.3,5.4,5.0,4.2,3.9,4.3,3.3,3.1,"$44,225",66.5%
13269,"Taylor County, GA",10.3,9.3,7.6,8.8,6.5,4.3,7.2,6.1,5.2,"$41,030",61.7%
13271,"Telfair County, GA",9.8,8.8,8.5,7.9,6.7,9.5,9.8,7.1,5.9,"$38,091",57.3%
13273,"Terrell County, GA",8.1,7.6,6.6,6.0,6.7,5.2,7.5,6.3,4.7,"$40,549",61.0%
13275,"Thomas County, GA",8.8,7.4,6.3,5.8,4.7,4.1,6.2,4.2,3.6,"$50,154",75.4%
13277,"Tift County, GA",7.3,6.2,5.5,4.7,4.0,3.4,5.0,3.5,2.9,"$48,717",73.3%
13279,"Toombs County, GA",9.9,8.9,7.9,6.6,5.8,5.0,6.5,4.5,3.9,"$45,253",68.0%
13281,"Towns County, GA",9.2,8.0,6.9,6.6,5.7,5.0,6.6,4.1,4.2,"$51,810",77.9%
13283,"Treutlen County, GA",10.6,8.6,7.8,6.8,5.8,5.3,6.1,4.4,4.1,"$40,947",61.6%
13285,"Troup County, GA",7.4,6.2,5.2,4.4,3.7,3.3,7.2,4.4,3.1,"$49,557",74.5%
13287,"Turner County, GA",8.0,6.9,6.6,5.7,5.1,3.9,7.2,6.4,4.2,"$37,477",56.4%
13289,"Twiggs County, GA",11.2,9.3,8.8,7.6,6.0,5.7,7.5,5.3,4.8,"$47,382",71.2%
13291,"Union County, GA",6.6,5.4,4.8,4.5,3.7,3.2,4.4,2.8,2.8,"$59,494",89.5%
13293,"Upson County, GA",8.9,7.4,6.5,5.5,4.4,3.7,6.5,4.1,3.3,"$47,140",70.9%
13295,"Walker County, GA",7.2,6.1,5.6,4.6,3.9,3.7,4.9,3.2,3.1,"$47,810",71.9%
13297,"Walton County, GA",6.5,5.5,5.0,4.4,3.6,3.2,5.3,3.2,2.9,"$73,839",111.0%
13299,"Ware County, GA",7.9,6.6,5.5,4.6,4.0,3.8,5.5,3.7,3.1,"$43,065",64.8%
13301,"Warren County, GA",9.7,7.9,7.0,5.9,5.0,4.9,6.7,4.7,3.9,"$40,361",60.7%
13303,"Washington County, GA",8.1,7.1,6.4,5.9,5.0,4.3,6.4,5.0,4.1,"$46,051",69.2%
13305,"Wayne County, GA",8.8,7.4,6.9,5.7,4.7,4.2,5.6,3.8,3.2,"$46,314",69.6%
13307,"Webster County, GA",8.6,9.5,8.7,7.6,6.3,5.0,5.6,4.6,3.9,"$44,084",66.3%
13309,"Wheeler County, GA",12.4,11.0,9.1,9.0,7.4,7.5,7.2,5.6,5.3,"$35,664",53.6%
13311,"White County, GA",6.2,5.3,4.7,3.9,3.1,2.8,4.3,2.6,2.5,"$61,473",92.4%
13313,"Whitfield County, GA",7.9,6.5,6.2,5.5,4.8,4.6,7.2,4.0,3.9,"$56,973",85.7%
13315,"Wilcox County, GA",9.2,8.0,7.3,5.8,5.2,4.5,6.0,4.9,3.8,"$38,449",57.8%
13317,"Wilkes County, GA",9.3,7.4,6.7,5.7,4.7,4.7,6.7,4.7,4.2,"$42,567",64.0%
13319,"Wilkinson County, GA",8.7,7.4,6.4,5.7,4.5,3.9,5.3,4.2,3.8,"$46,475",69.9%
13321,"Worth County, GA",7.9,6.6,5.9,4.9,4.5,4.0,5.4,4.1,3.2,"$48,943",73.6%
40000,Oklahoma,4.3,4.3,4.6,4.0,3.3,3.1,6.3,4.0,3.1,"$55,829",100.0%
40001,"Adair County, OK",7.7,5.9,5.6,4.7,4.0,3.9,6.0,3.8,3.4,"$43,371",77.7%
40003,"Alfalfa County, OK",2.4,2.9,3.2,2.5,2.1,1.9,3.7,2.5,2.0,"$55,157",98.8%
40005,"Atoka County, OK",5.9,6.3,6.4,5.0,4.0,4.2,7.3,5.0,3.9,"$44,489",79.7%
40007,"Beaver County, OK",2.7,2.6,3.0,2.4,1.9,1.9,2.7,1.8,1.9,"$60,260",107.9%
40009,"Beckham County, OK",2.7,5.0,6.9,3.7,2.5,3.0,7.8,4.5,2.6,"$46,744",83.7%
40011,"Blaine County, OK",3.3,3.7,3.6,2.6,1.9,1.9,6.1,3.1,2.3,"$50,068",89.7%
40013,"Bryan County, OK",4.7,4.5,4.2,3.6,3.1,2.9,5.2,3.5,2.8,"$47,916",85.8%
40015,"Caddo County, OK",5.2,5.0,5.1,4.2,3.4,3.4,6.1,3.9,3.3,"$44,121",79.0%
40017,"Canadian County, OK",3.4,3.5,3.8,3.3,2.7,2.7,6.0,3.4,2.6,"$75,806",135.8%
40019,"Carter County, OK",4.3,4.4,5.0,4.3,3.4,3.3,7.2,4.6,3.5,"$53,211",95.3%
40021,"Cherokee County, OK",5.8,5.0,5.3,5.1,4.1,3.8,5.6,4.3,3.6,"$42,269",75.7%
40023,"Choctaw County, OK",8.0,7.5,7.4,5.8,4.8,4.6,7.7,5.4,4.7,"$41,228",73.8%
40025,"Cimarron County, OK",2.7,2.2,2.4,2.3,1.8,1.7,2.1,1.9,1.4,"$50,300",90.1%
40027,"Cleveland County, OK",3.6,3.4,3.7,3.3,2.8,2.7,5.7,3.4,2.6,"$67,692",121.2%
40029,"Coal County, OK",6.5,7.4,7.1,5.1,3.6,3.7,7.0,4.7,3.3,"$44,733",80.1%
40031,"Comanche County, OK",4.5,4.2,4.4,4.2,3.8,3.5,6.8,4.3,3.7,"$50,090",89.7%
40033,"Cotton County, OK",4.5,4.1,4.6,3.8,3.0,3.0,7.2,4.3,3.1,"$48,703",87.2%
40035,"Craig County, OK",5.3,4.7,4.7,4.1,3.3,3.4,5.5,3.8,3.1,"$48,825",87.5%
40037,"Creek County, OK",4.8,4.8,5.6,4.7,3.7,3.5,6.7,4.4,3.5,"$53,287",95.4%
40039,"Custer County, OK",3.0,3.9,4.4,3.1,2.4,2.4,5.5,3.4,2.7,"$51,098",91.5%
40041,"Delaware County, OK",5.6,4.8,4.7,4.2,3.8,3.6,5.4,3.5,3.0,"$47,774",85.6%
40043,"Dewey County, OK",3.0,3.5,3.9,2.7,1.8,2.0,5.0,2.9,2.0,"$53,165",95.2%
40045,"Ellis County, OK",2.9,4.0,3.7,3.0,2.1,2.3,4.6,2.9,2.3,"$52,503",94.0%
40047,"Garfield County, OK",3.4,3.8,4.2,3.7,2.9,2.9,5.6,3.6,2.9,"$59,514",106.6%
40049,"Garvin County, OK",3.9,4.6,5.2,3.9,3.1,3.0,6.4,3.9,2.9,"$50,043",89.6%
40051,"Grady County, OK",3.9,4.4,4.8,3.8,2.9,3.0,6.3,3.6,2.8,"$61,326",109.8%
40053,"Grant County, OK",2.6,2.9,3.1,2.4,2.0,2.0,3.4,2.7,1.9,"$51,688",92.6%
40055,"Greer County, OK",4.5,5.5,7.1,4.9,3.8,4.1,7.7,5.3,3.5,"$39,391",70.6%
40057,"Harmon County, OK",3.9,3.4,3.7,3.6,2.8,2.7,3.6,2.7,2.7,"$38,826",69.5%
40059,"Harper County, OK",2.7,3.0,3.7,2.9,2.2,2.7,3.5,2.6,2.0,"$58,116",104.1%
40061,"Haskell County, OK",7.2,7.7,8.0,6.3,4.9,5.0,8.1,5.5,4.4,"$36,954",66.2%
40063,"Hughes County, OK",6.8,7.3,7.0,5.3,4.0,4.6,7.7,5.4,3.9,"$39,603",70.9%
40065,"Jackson County, OK",4.2,4.0,4.2,3.6,2.9,2.8,4.2,3.0,2.8,"$55,293",99.0%
40067,"Jefferson County, OK",4.5,5.6,6.9,5.3,3.3,3.1,6.7,4.1,3.1,"$37,798",67.7%
40069,"Johnston County, OK",6.8,6.4,5.7,3.8,2.8,4.1,7.8,4.8,3.7,"$47,039",84.3%
40071,"Kay County, OK",5.5,5.5,6.1,5.1,4.5,4.1,6.8,4.5,3.5,"$50,034",89.6%
40073,"Kingfisher County, OK",3.0,3.1,3.2,2.6,2.0,2.0,4.5,2.7,2.0,"$66,770",119.6%
40075,"Kiowa County, OK",3.9,4.5,5.1,5.0,4.0,3.6,5.2,3.5,3.3,"$40,937",73.3%
40077,"Latimer County, OK",7.1,7.9,8.3,7.1,5.8,6.0,10.3,7.5,5.7,"$37,294",66.8%
40079,"Le Flore County, OK",6.6,6.7,6.7,5.5,4.4,4.5,7.1,4.8,3.7,"$42,198",75.6%
40081,"Lincoln County, OK",4.4,4.6,5.1,4.1,3.4,3.4,5.8,3.7,3.1,"$51,525",92.3%
40083,"Logan County, OK",3.9,3.7,3.9,3.5,2.9,2.8,5.3,3.4,2.7,"$68,955",123.5%
40085,"Love County, OK",3.5,3.5,3.0,2.8,2.1,2.2,4.3,2.8,2.4,"$52,205",93.5%
40087,"McClain County, OK",3.6,3.6,4.0,3.3,2.7,2.6,5.6,3.3,2.7,"$72,895",130.6%
40089,"McCurtain County, OK",7.8,7.7,6.9,6.0,5.3,5.4,6.8,4.6,4.0,"$43,930",78.7%
40091,"McIntosh County, OK",8.9,8.4,8.6,7.3,5.7,5.6,8.7,6.3,4.9,"$42,506",76.1%
40093,"Major County, OK",2.5,3.2,4.0,3.0,2.1,2.0,4.9,3.2,2.4,"$55,948",100.2%
40095,"Marshall County, OK",4.6,5.3,4.9,4.4,3.6,3.3,6.6,3.8,3.1,"$49,443",88.6%
40097,"Mayes County, OK",4.7,4.2,4.9,4.5,3.2,3.0,5.2,3.9,3.2,"$53,161",95.2%
40099,"Murray County, OK",4.0,4.1,4.4,3.5,2.8,2.9,6.3,4.1,3.1,"$55,997",100.3%
40101,"Muskogee County, OK",5.5,5.0,5.3,4.8,3.9,3.7,6.2,4.5,3.5,"$44,521",79.7%
40103,"Noble County, OK",3.5,3.5,3.4,3.1,2.5,2.3,4.2,2.7,2.2,"$58,612",105.0%
40105,"Nowata County, OK",5.9,5.6,5.9,5.1,4.0,3.3,5.4,3.7,2.9,"$50,228",90.0%
40107,"Okfuskee County, OK",5.8,5.7,5.9,5.7,4.6,4.4,6.9,5.1,4.0,"$36,567",65.5%
40109,"Oklahoma County, OK",4.0,3.8,4.1,3.8,3.2,3.0,6.6,4.2,3.0,"$57,890",103.7%
40111,"Okmulgee County, OK",6.6,6.5,6.9,6.0,4.8,4.7,7.5,5.4,4.2,"$46,411",83.1%
40113,"Osage County, OK",5.0,5.1,5.6,4.9,4.1,3.6,6.7,4.4,3.6,"$56,156",100.6%
40115,"Ottawa County, OK",6.5,5.0,4.9,4.1,3.3,3.2,5.8,3.4,2.8,"$45,523",81.5%
40117,"Pawnee County, OK",5.1,5.7,6.4,5.1,4.0,3.8,6.7,4.3,3.7,"$52,367",93.8%
40119,"Payne County, OK",3.6,3.4,3.6,3.4,2.8,2.8,5.4,3.4,2.8,"$50,651",90.7%
40121,"Pittsburg County, OK",5.9,5.6,5.9,5.0,3.7,4.0,7.8,5.5,4.3,"$47,589",85.2%
40123,"Pontotoc County, OK",4.2,3.9,3.9,3.6,3.0,3.0,5.3,3.5,2.8,"$51,044",91.4%
40125,"Pottawatomie County, OK",4.6,4.4,4.5,3.9,3.6,3.5,6.3,4.1,3.5,"$51,569",92.4%
40127,"Pushmataha County, OK",7.2,7.6,7.0,5.9,5.0,4.7,6.8,4.5,3.9,"$42,360",75.9%
40129,"Roger Mills County, OK",2.7,4.1,5.0,3.1,2.3,2.9,5.2,3.0,2.3,"$54,944",98.4%
40131,"Rogers County, OK",4.1,4.3,4.8,4.2,3.2,2.9,6.0,3.7,2.9,"$69,436",124.4%
40133,"Seminole County, OK",6.6,6.7,6.7,5.4,4.6,4.6,7.6,5.3,4.2,"$42,053",75.3%
40135,"Sequoyah County, OK",6.6,6.2,6.0,5.2,4.2,3.9,7.0,4.5,3.5,"$43,293",77.5%
40137,"Stephens County, OK",4.3,5.8,9.2,5.9,3.8,4.1,8.0,4.7,3.3,"$49,840",89.3%
40139,"Texas County, OK",3.6,3.1,3.3,3.0,2.6,1.8,2.4,1.9,1.8,"$56,229",100.7%
40141,"Tillman County, OK",4.5,4.2,4.3,4.0,3.6,3.5,6.4,4.6,3.4,"$44,231",79.2%
40143,"Tulsa County, OK",4.1,4.0,4.5,4.0,3.2,3.0,6.7,4.2,3.1,"$59,232",106.1%
40145,"Wagoner County, OK",4.1,4.1,4.6,4.1,3.2,3.0,5.9,3.7,3.0,"$70,603",126.5%
40147,"Washington County, OK",4.1,4.2,4.7,4.3,3.8,3.3,6.0,4.0,3.3,"$54,108",96.9%
40149,"Washita County, OK",3.3,5.4,6.7,4.2,2.9,3.2,6.9,4.5,3.1,"$51,073",91.5%
40151,"Woods County, OK",2.6,2.7,3.1,2.5,2.1,2.0,3.5,2.2,1.9,"$51,371",92.0%
40153,"Woodward County, OK",3.0,5.1,6.0,3.9,2.6,2.8,7.0,4.4,3.0,"$56,666",101.5%
01000,Alabama,6.7,6.1,5.9,4.5,3.9,3.2,6.4,3.4,2.5,"$53,990",100.0%
01001,"Autauga County, AL",5.8,5.2,5.1,4.0,3.6,2.9,5.3,2.8,2.2,"$66,444",123.1%
01003,"Baldwin County, AL",6.1,5.6,5.4,4.2,3.6,2.9,6.1,2.9,2.3,"$65,658",121.6%
01005,"Barbour County, AL",10.5,8.9,8.4,6.0,5.1,4.0,7.7,5.5,4.0,"$38,649",71.6%
01007,"Bibb County, AL",7.2,6.7,6.5,4.5,4.0,3.2,7.2,3.4,2.4,"$48,454",89.7%
01009,"Blount County, AL",6.1,5.4,5.4,4.1,3.5,2.8,4.5,2.4,2.2,"$56,894",105.4%
01011,"Bullock County, AL",8.8,8.0,6.9,5.0,4.7,3.9,5.9,3.9,2.8,"$32,027",59.3%
01013,"Butler County, AL",8.5,7.6,6.9,5.6,4.7,3.9,9.5,5.1,3.3,"$39,442",73.1%
01015,"Calhoun County, AL",7.9,7.1,6.6,5.1,4.6,3.7,7.7,4.0,3.0,"$48,166",89.2%
01017,"Chambers County, AL",6.7,6.1,5.5,4.2,3.9,3.1,7.4,3.6,2.5,"$45,447",84.2%
01019,"Cherokee County, AL",5.8,5.5,5.1,4.2,3.6,3.0,5.1,2.5,2.3,"$46,365",85.9%
01021,"Chilton County, AL",6.2,5.7,5.5,4.2,3.6,2.9,5.4,2.8,2.2,"$55,142",102.1%
01023,"Choctaw County, AL",9.0,9.2,8.5,6.5,5.5,4.9,7.3,4.3,3.7,"$40,601",75.2%
01025,"Clarke County, AL",12.1,11.8,10.9,8.7,7.4,6.1,9.7,5.8,4.9,"$45,447",84.2%
01027,"Clay County, AL",7.1,6.2,6.0,4.4,3.8,3.1,4.4,2.7,2.2,"$47,036",87.1%
01029,"Cleburne County, AL",6.6,6.1,6.0,4.6,4.2,3.3,5.0,2.6,2.3,"$49,769",92.2%
01031,"Coffee County, AL",6.6,6.0,5.9,4.5,3.9,3.1,4.8,2.8,2.5,"$55,052",102.0%
01033,"Colbert County, AL",8.3,8.0,7.0,5.3,4.6,4.0,7.2,3.9,3.0,"$53,341",98.8%
01035,"Conecuh County, AL",10.3,9.3,8.4,6.3,5.2,4.2,7.9,4.7,3.4,"$35,621",66.0%
01037,"Coosa County, AL",8.8,6.7,6.0,4.8,4.1,3.1,6.0,3.0,2.5,"$45,954",85.1%
01039,"Covington County, AL",7.7,7.2,6.8,5.3,4.6,3.6,5.4,3.0,2.6,"$44,188",81.8%
01041,"Crenshaw County, AL",6.9,6.0,5.9,4.6,4.0,3.0,6.2,3.3,2.7,"$38,037",70.5%
01043,"Cullman County, AL",6.0,5.3,5.0,3.8,3.3,2.7,4.7,2.3,2.0,"$55,036",101.9%
01045,"Dale County, AL",7.0,6.4,5.8,4.6,4.2,3.3,5.3,3.1,2.5,"$50,086",92.8%
01047,"Dallas County, AL",11.2,9.6,9.2,7.7,6.5,5.8,11.6,7.1,4.9,"$33,159",61.4%
01049,"DeKalb County, AL",6.8,6.1,6.1,4.6,3.8,3.0,4.9,2.5,2.3,"$45,062",83.5%
01051,"Elmore County, AL",5.7,5.1,4.8,3.8,3.4,2.8,5.2,2.7,2.1,"$63,147",117.0%
01053,"Escambia County, AL",8.0,7.1,6.7,5.1,4.5,3.7,6.7,4.0,3.0,"$40,506",75.0%
01055,"Etowah County, AL",7.0,6.2,5.9,4.7,4.1,3.6,8.3,4.0,3.0,"$46,308",85.8%
01057,"Fayette County, AL",7.8,7.1,6.8,4.8,4.1,3.3,5.5,3.0,2.7,"$46,122",85.4%
01059,"Franklin County, AL",7.7,6.5,5.9,4.4,3.7,2.9,4.9,2.5,2.3,"$45,440",84.2%
01061,"Geneva County, AL",6.7,6.0,5.8,4.4,3.9,3.1,4.5,2.8,2.3,"$43,206",80.0%
01063,"Greene County, AL",12.4,11.1,10.0,7.7,6.6,5.9,11.6,6.5,4.2,"$30,225",56.0%
01065,"Hale County, AL",9.8,7.8,7.7,6.1,5.1,4.2,10.2,5.5,3.8,"$41,995",77.8%
01067,"Henry County, AL",7.5,6.8,6.5,5.0,4.4,3.8,5.3,3.1,2.7,"$56,389",104.4%
01069,"Houston County, AL",6.7,6.3,5.8,4.5,4.0,3.2,5.9,3.3,2.5,"$48,701",90.2%
01071,"Jackson County, AL",7.2,6.7,6.3,4.9,4.1,3.5,5.8,2.8,2.4,"$46,998",87.0%
01073,"Jefferson County, AL",6.3,5.8,5.7,4.4,3.7,3.0,6.7,3.5,2.5,"$55,210",102.3%
01075,"Lamar County, AL",6.9,6.4,5.7,4.3,3.8,3.3,5.3,3.0,2.6,"$44,265",82.0%
01077,"Lauderdale County, AL",7.2,7.0,6.4,4.7,4.2,3.5,6.1,3.1,2.6,"$52,222",96.7%
01079,"Lawrence County, AL",8.2,7.8,6.9,5.0,4.1,3.3,5.4,2.9,2.3,"$55,555",102.9%
01081,"Lee County, AL",5.6,5.3,5.2,4.1,3.6,2.9,5.7,2.8,2.3,"$54,188",100.4%
01083,"Limestone County, AL",6.1,5.5,5.3,4.1,3.5,2.8,4.6,2.4,2.0,"$69,207",128.2%
01085,"Lowndes County, AL",12.8,11.6,10.6,8.4,7.3,6.1,14.3,8.7,5.1,"$36,993",68.5%
01087,"Macon County, AL",9.1,8.1,7.6,5.9,5.4,4.5,10.3,5.8,3.7,"$35,354",65.5%
01089,"Madison County, AL",6.1,5.5,5.1,4.0,3.5,2.7,5.1,2.6,2.1,"$78,386",145.2%
01091,"Marengo County, AL",7.9,7.7,7.2,5.7,4.9,3.7,6.8,4.2,3.3,"$42,048",77.9%
01093,"Marion County, AL",7.9,7.0,6.6,4.9,4.1,3.7,5.5,2.8,2.4,"$44,636",82.7%
01095,"Marshall County, AL",6.6,5.8,5.3,3.9,3.4,2.6,4.6,2.4,2.0,"$50,858",94.2%
01097,"Mobile County, AL",7.7,6.9,6.6,5.3,4.7,3.9,8.5,4.6,3.2,"$49,848",92.3%
01099,"Monroe County, AL",11.0,10.1,9.1,6.9,6.1,5.1,8.8,5.5,4.0,"$40,997",75.9%
01101,"Montgomery County, AL",6.8,6.1,5.7,4.4,4.0,3.3,8.4,4.7,3.0,"$50,645",93.8%
01103,"Morgan County, AL",6.6,5.9,5.5,4.2,3.5,2.7,4.9,2.6,2.0,"$56,340",104.4%
01105,"Perry County, AL",12.0,10.0,10.3,8.0,6.5,5.5,11.8,7.9,5.1,"$31,522",58.4%
01107,"Pickens County, AL",8.1,6.8,6.9,5.5,4.6,3.7,7.2,4.0,3.2,"$43,926",81.4%
01109,"Pike County, AL",7.3,6.6,6.5,5.0,4.5,3.5,5.4,3.2,2.7,"$38,945",72.1%
01111,"Randolph County, AL",6.7,5.9,5.6,4.5,4.0,3.2,5.2,2.7,2.4,"$45,889",85.0%
01113,"Russell County, AL",6.5,6.0,5.6,4.4,4.0,3.1,5.7,3.0,2.6,"$44,849",83.1%
01115,"St. Clair County, AL",5.7,5.2,5.2,4.1,3.5,2.9,5.3,2.6,2.1,"$63,015",116.7%
01117,"Shelby County, AL",4.5,4.2,4.3,3.3,2.8,2.3,4.2,2.1,1.8,"$85,457",158.3%
01119,"Sumter County, AL",8.4,8.0,7.7,6.7,5.8,4.8,7.6,4.4,3.4,"$29,490",54.6%
01121,"Talladega County, AL",7.7,6.6,6.6,5.1,4.3,3.6,7.7,4.0,3.0,"$47,331",87.7%
01123,"Tallapoosa County, AL",7.5,6.1,5.6,4.3,4.1,3.2,7.5,3.9,2.8,"$47,444",87.9%
01125,"Tuscaloosa County, AL",5.9,5.5,5.7,4.3,3.6,2.9,7.2,3.5,2.5,"$56,274",104.2%
01127,"Walker County, AL",7.9,7.3,7.5,5.2,4.2,3.5,6.4,3.5,2.7,"$46,343",85.8%
01129,"Washington County, AL",9.5,9.0,8.6,6.9,5.8,4.9,8.7,4.6,3.6,"$49,795",92.2%
01131,"Wilcox County, AL",16.8,14.7,14.5,11.7,9.5,7.5,15.9,10.5,7.6,"$30,071",55.7%
01133,"Winston County, AL",8.6,7.6,7.1,5.1,4.2,3.5,5.1,2.7,2.4,"$47,176",87.4%
08000,Colorado,5.0,3.7,3.1,2.6,3.0,2.7,6.8,5.5,3.1,"$82,228",100.0%
08001,"Adams County, CO",5.7,4.2,3.4,2.8,3.2,2.8,7.5,6.2,3.4,"$80,831",98.3%
08003,"Alamosa County, CO",7.2,5.0,3.9,3.2,3.8,3.4,5.9,6.0,3.7,"$51,009",62.0%
08005,"Arapahoe County, CO",4.9,3.6,3.0,2.6,3.0,2.6,7.3,5.8,3.1,"$84,308",102.5%
08007,"Archuleta County, CO",6.0,3.9,3.1,2.8,3.2,3.0,7.0,5.3,3.2,"$68,025",82.7%
08009,"Baca County, CO",2.8,2.0,1.6,1.5,1.7,1.6,2.2,2.3,1.8,"$44,257",53.8%
08011,"Bent County, CO",5.3,3.8,2.9,2.6,3.0,2.7,4.0,6.6,3.6,"$37,185",45.2%
